,location,distance,item,lat,lon,sitelinks,itemLabel,placeLabel,tier,color
0,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q2516,53.624722222222,10.061666666667,110,Helmut Schmidt,Ohlsdorf Cemetery,graves,black
1,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q41257,53.624722222222,10.061666666667,110,Heinrich Hertz,Ohlsdorf Cemetery,graves,black
2,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q57066,53.624722222222,10.061666666667,87,James Franck,Ohlsdorf Cemetery,graves,black
3,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q57070,53.624722222222,10.061666666667,87,Gustav Ludwig Hertz,Ohlsdorf Cemetery,graves,black
4,Point(9.978889 53.548333),1.455,http://www.wikidata.org/entity/Q76428,53.548333,9.978889,73,Carl Philipp Emanuel Bach,"St. Michaelis Church, Hamburg",graves,black
5,Point(10.0 53.55),0.057,http://www.wikidata.org/entity/Q75854,53.55,10.0,71,Georg Philipp Telemann,Hamburg,graves,black
6,Point(9.917777777 53.553888888),5.489,http://www.wikidata.org/entity/Q154367,53.553888888889,9.9177777777778,62,Friedrich Gottlieb Klopstock,Ottensen,graves,black
7,Point(9.841666666 53.554166666),10.511,http://www.wikidata.org/entity/Q60113,53.554166666667,9.8416666666667,58,Bernhard von Bülow,Nienstedten Cemetery,graves,black
8,Point(9.870833333 53.573888888),8.964,http://www.wikidata.org/entity/Q76412,53.573888888889,9.8708333333333,52,Siegfried Lenz,Friedhof Groß Flottbek,graves,black
9,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q44470,53.624722222222,10.061666666667,52,Uwe Seeler,Ohlsdorf Cemetery,graves,black
10,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q77179,53.624722222222,10.061666666667,48,Wilhelm Cuno,Ohlsdorf Cemetery,graves,black
11,Point(10.070839 53.57294),5.272,http://www.wikidata.org/entity/Q77338,53.57294,10.070839,47,Matthias Claudius,Historischer Friedhof Wandsbek,graves,black
12,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q76959,53.624722222222,10.061666666667,43,Ralf Dahrendorf,Ohlsdorf Cemetery,graves,black
13,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q155540,53.624722222222,10.061666666667,42,Hans von Bülow,Ohlsdorf Cemetery,graves,black
14,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q166585,53.624722222222,10.061666666667,41,Philipp Otto Runge,Ohlsdorf Cemetery,graves,black
15,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q58799,53.624722222222,10.061666666667,39,Wolfgang Borchert,Ohlsdorf Cemetery,graves,black
16,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q61761,53.624722222222,10.061666666667,39,Pascual Jordan,Ohlsdorf Cemetery,graves,black
17,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q57213,53.624722222222,10.061666666667,38,James Last,Ohlsdorf Cemetery,graves,black
18,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q57283,53.624722222222,10.061666666667,37,Emil Artin,Ohlsdorf Cemetery,graves,black
19,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q60185,53.624722222222,10.061666666667,36,Aby Warburg,Ohlsdorf Cemetery,graves,black
20,Point(10.155 53.5925),11.217,http://www.wikidata.org/entity/Q21119,53.5925,10.155,35,Detlev von Liliencron,Rahlstedt Cemetery,graves,black
21,Point(9.978889 53.548333),1.455,http://www.wikidata.org/entity/Q170333,53.548333,9.978889,32,Johann Mattheson,"St. Michaelis Church, Hamburg",graves,black
22,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q158650,53.624722222222,10.061666666667,32,Paul Abraham,Ohlsdorf Cemetery,graves,black
23,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q561231,53.624722222222,10.061666666667,32,Hans Albers,Ohlsdorf Cemetery,graves,black
24,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q61260,53.624722222222,10.061666666667,31,Gustaf Gründgens,Ohlsdorf Cemetery,graves,black
25,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q58760,53.624722222222,10.061666666667,28,Roger Cicero,Ohlsdorf Cemetery,graves,black
26,Point(10.0 53.55),0.057,http://www.wikidata.org/entity/Q77418,53.55,10.0,27,Paul Fleming,Hamburg,graves,black
27,Point(10.0 53.55),0.057,http://www.wikidata.org/entity/Q706786,53.55,10.0,26,Josef Posipal,Hamburg,graves,black
28,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q60817,53.624722222222,10.061666666667,26,C. W. Ceram,Ohlsdorf Cemetery,graves,black
29,Point(10.084261111 53.582033333),6.55,http://www.wikidata.org/entity/Q649198,53.582033333333,10.084261111111,25,Ingo Schwichtenberg,Wandsbek,graves,black
30,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q61854,53.624722222222,10.061666666667,25,Karl Hein,Ohlsdorf Cemetery,graves,black
31,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q64240,53.624722222222,10.061666666667,25,Willy Fritsch,Ohlsdorf Cemetery,graves,black
32,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q112062,53.624722222222,10.061666666667,25,Monica Bleibtreu,Ohlsdorf Cemetery,graves,black
33,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q506453,53.624722222222,10.061666666667,25,Tony Sheridan,Ohlsdorf Cemetery,graves,black
34,Point(9.94333333 53.5475),3.8,http://www.wikidata.org/entity/Q63140,53.5475,9.94333333,24,Heinrich Christian Schumacher,Heilig-Geist-Kirchhof Altona,graves,black
35,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q65264,53.624722222222,10.061666666667,23,Carl Hagenbeck,Ohlsdorf Cemetery,graves,black
36,Point(9.795555555 53.514722222),14.121,http://www.wikidata.org/entity/Q60787,53.514722222222,9.7955555555556,22,Arp Schnitger,Neuenfelde,graves,black
38,Point(10.0 53.55),0.057,http://www.wikidata.org/entity/Q590568,53.55,10.0,22,"Bruno, Duke of Saxony",Hamburg,graves,black
39,Point(10.061666666 53.624722222),9.199,http://www.wikidata.org/entity/Q69314,53.624722222222,10.061666666667,22,Loki Schmidt,Ohlsdorf Cemetery,graves,black
40,Point(9.841666666 53.554166666),10.511,http://www.wikidata.org/entity/Q106606,53.554166666667,9.8416666666667,21,Brigitte Kronauer,Nienstedten Cemetery,graves,black
