,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
8,Portugiesenviertel ,53.545889,9.975083, , ,See,Especially during the warmer months the area around Ditmar-Koel-Straße has a very special flair. Lots of restaurants and shops invite one to linger.,"(53.545889, 9.975083)",wikivoyage,red
0,Kunsthalle ,53.5552,10.0031, ,http://www.hamburger-kunsthalle.de/en ,See,"Glockengießerwall north of Hauptbahnhof. The museum houses an important collection of paintings from the 19th century with works from Max Liebermann, Lovis Corinth, Philipp Otto Runge, Caspar David Friedrich, Adolf Menzel, and modern arts. It rises on both sides of a paved court. The Baroque building on one side has the older works. The areas under the courtyard and the other, modern looking building house an extensive collection of very modern art. There are some extremely fine pieces, but the quality is uneven and the curacy curious at times. For instance, in a far back corner with minimal climate control and no observation are four or five gorgeous French Impressionist paintings which are among the finest in the museum.","(53.5552, 10.0031)",wikivoyage,red
1,Deichtorhallen ,53.54724,10.00674, ,http://www.deichtorhallen.de/index.php?id,See,"The Deichtorhallen is one of the best known exhibition galleries worldwide. The historical buildings are divided into an exhibition hall for contemporary art and the ""House of Photography"". Together the two buildings organize a highly diverse program of changing exhibitions.","(53.54724, 10.00674)",wikivoyage,red
0,Hamburg Museum ,53.55107,9.97325, ,http://www.hamburgmuseum.de/index2.html ,See,"Holstenwall, close to Underground station ""St. Pauli"". This is the museum of city history, bringing the past to life with a lot of models showing the development of the harbour and the city. The club ""MEHEV"" is showing a 40-year-old and one of the largest scale model railroads here.","(53.55107, 9.97325)",wikivoyage,red
1,Internationales Maritimes Museum ,53.54341,9.99993,"Koreastraße 1, HafenCity ",https://www.imm-hamburg.de/ ,See,"This private museum in near the Speicherstadt district houses Peter Tamm's collection of model ships, construction plans, uniforms, and maritime art,. It opened in 2008 in the refurbished Kaispeicher B (quay warehouse B), which is the oldest preserved warehouse in Hamburg, having been built in 1879. Covering ten floors it is one of the most comprehensive maritime museums in the world with 1,000 large and 36,000 miniature models, 50,000 construction plans, 5,000 paintings and graphics, more than 2,000 films, 1.5 million photos, 120,000 books and numerous nautical devices, historic uniforms, militaria and maritime objects. About two thirds of the collection is on permanent display.","(53.54341, 9.99993)",wikivoyage,red
2,Speicherstadtmuseum ,53.54311,9.98758, ,http://www.speicherstadtmuseum.de/# ,See,Branch of Museum of Labour in docklands warehouse. History of the district and tea and coffee trade.,"(53.54311, 9.98758)",wikivoyage,red
3,Traditionsschiffhafen ,53.54239,9.99003, , ,See,,"(53.54239, 9.99003)",wikivoyage,red
4,Cap San Diego ,53.5432,9.9763, ,http://www.capsandiego.de/ ,See,"One of the last generation of pre-containerisation cargo ships (built in the 1960s), now semi-permanently moored halfway between Landungsbrücken and the Speicherstadt, and is the largest functional cargo museum ship in the world. The ship has been restored and is maintained in full working order by volunteers (who take it out a few times a year, notably during the Hafengeburtstag celebration). You can visit the ship and walk around most areas, including the crew quarters, cargo compartments, and engine room. The ship also hosts a number of other minor attractions, including an exhibit on emigration and an escape room. The ship also has a few guest rooms for overnight stays.","(53.5432, 9.9763)",wikivoyage,red
5,Automuseum Prototyp ,53.54325,10.00265,Shanghaiallee 7 ,http://www.prototyp-hamburg.de ,See,"Museum of car prototypes, nice shop inside.","(53.54325, 10.00265)",wikivoyage,red
0,Deutsches Zollmuseum ,53.5459,9.99752, ,http://www.zoll.de/DE/Der-Zoll/Zollmuseum/zollmuseum_node.html ,See,,"(53.5459, 9.99752)",wikivoyage,red
1,Bucerius Kunst Forum ,53.55112,9.99166,Rathausmarkt 2 ,http://www.buceriuskunstforum.de/en/ ,See,,"(53.55112, 9.99166)",wikivoyage,red
2,Spicey's Gewürzmuseum ,53.5432,9.9883, ,http://www.spicys.de/ ,See,Located in the Speicherstadt. They claim to be the world's only spice museum.,"(53.5432, 9.9883)",wikivoyage,red
3,Chocoversum Hachez Schokoladen-Museum ,53.5477,10.0022,Meßberg 1 ,http://www.chocoversum.de/en.html ,See,"The Chocoversum is a ""museum"" run by chocolate manufacturer Hachez from Hamburg's fellow ''Hansestadt'' [[Bremen]]. Rather than focus on exhibiting historic artifacts, it presents the process of making chocolate from the plantation up to the finished confection. There is also a studio where visitors can try their hands at being a chocolatier. 90-minute guided tours are provided everyday.","(53.5477, 10.0022)",wikivoyage,red
4,Rickmer Rickmers ,53.54473,9.97247, ,http://www.rickmer-rickmers.de/ ,See,"A museum sailing ship (three-masted bark) from 1896, permanently moored off the Landungsbrücken. On board is a museum, a small restaurant, and an escape room.","(53.54473, 9.97247)",wikivoyage,red
5,Dialog im Dunkeln ,0.0,0.0,Alter Wandrahm 4 ,http://www.dialog-im-dunkeln.de/ ,See,Sighted people get to experience the everyday life of blind people. In completely dark rooms blind people guide the sighted through the exhibition.,"(0, 0)",wikivoyage,red
0,Hauptkirche St. Michaelis ,53.548333,9.978889, ,http://www.st-michaelis.de/ ,See_The five main churches of Hamburg,"The youngest and most famous of the five is also the only baroque church. This building is not the original St. Michaelis - that one (built 1647-1669) was destroyed by a lightning strike in 1750. It was not until 1786 that the present church was erected on the site. From the tower (450 steps, or take the elevator) you'll have a great view over the city. Entry to the church is free, but the tower and the crypt cost extra (around €5/person).","(53.548333, 9.978889)",wikivoyage,red
1,Hauptkirche St. Jacobi ,53.550278,10.000556,Jakobikirkhof , ,See_The five main churches of Hamburg,"St. Jacobi has been a parish since the 12th century, when it was not even within Hamburg's then city walls. The present-day church is a reconstruction of the late medieval one from the 15th century, which was destroyed during the Second World War. The reconstruction afforded St. Jacobi with a visibly modern roof and steeple.","(53.550278, 10.000556)",wikivoyage,red
2,Hauptkirche St. Petri ,53.550278,9.996389,Bergstraße , ,See_The five main churches of Hamburg,"St. Petri was a cathedral as early as the 12th century or possibly even earlier. As with other ''Hauptkirchen'', the present version is one of many successive, and was only completed in 1878 after the great fire in 1842 consumed its predecessor. In turn, however, St. Petri survived the Second World War relatively intact. Of note are the large ornate door handles in the shape of lion heads, which have survived both the fire and the war, and the bells, several of which date back to the 16th century. The tower can be climbed for a fee and offers a great view of Hamburg, but the climb is long and not recommended for people suffering from high anxiety.","(53.550278, 9.996389)",wikivoyage,red
3,Hauptkirche St. Nikolai ,53.5475,9.990556, , ,See_The five main churches of Hamburg,"All five main churches of Hamburg were damaged in World War II. But in contrast to the other four, St. Nikolai has not been re-erected making it a memorial against war. The steeple is still standing and visitors can take an elevator to the top for a view of the city","(53.5475, 9.990556)",wikivoyage,red
4,Hauptkirche St. Katharinen ,53.546,9.994375, , ,See_The five main churches of Hamburg,"Situated on an island, it traditionally served as the church of the seamen. The base of its spire, dating from the 13th century, is the second oldest building preserved in the city. The church is also famous for its centuries-old organ, played by Bach when he was visiting the city. The instrument was actually destroyed to a large extent by the wartime bombings, but has been meticulously rebuilt and is playable again.","(53.546, 9.994375)",wikivoyage,red
0,Hulbe-Haus ,53.5505,9.99752, , ,See_Around Mönckebergstraße,"Dating from the beginning of the 20th century as most buildings around, but looking much older.","(53.5505, 9.99752)",wikivoyage,red
1,Radio Hamburg ,53.5522,10.0027, , ,See_Around Mönckebergstraße,"Under the building you can visit the remains of the bishops tower, from the 11th century. On the other side of the road, you can see excavations in progress, seeking the remains of the small fortress Hammaburg, which was erected in the 9th century giving Hamburg its name.","(53.5522, 10.0027)",wikivoyage,red
0,Rathaus ,53.55049,9.99245,Rathausmarkt 1 , ,See_Around city hall,"Hamburg's impressive city hall was built in 1897 out of sandstone in neo-Renaissance style, including a 112-m tower. The square in front of the city hall is the Rathausmarkt, hosting many events especially in summer. Inside there are several magnificent halls used for representative purposes and sittings of government and parliament. These can be visited in guided tours (M-Th 10:00-15:15, F-Su 10:00-13:15, half-hourly in German, hourly in English and French.","(53.55049, 9.99245)",wikivoyage,red
1,Hamburger Börse ,53.54996,9.99156, , ,See_Around city hall,"Between the buildings, there is a little courtyard called Rathaushof with its fountain, Hygieia-Brunnen.","(53.54996, 9.99156)",wikivoyage,red
0,Wall-Anlagen ,53.5571,9.981, , ,See_Around St. Nikolai,"The western part of the former city wall is nowadays a park area surrounding the inner city as a semicircle, ranging from the Landungsbrücken (Helgoländer Allee) up to Binnenalster. In the Wallanlagen there's a big playground and in the winter an ice rink. There also the impressive Hanseatic Courthouse building.","(53.5571, 9.981)",wikivoyage,red
1,Patriotische Gesellschaft ,53.54853,9.99229, , ,See_Around St. Nikolai,"The building of the Patriotic Society was erected following the great fire of 1842 on the former site of the old town hall of Hamburg. Built using the most modern technology at that time, including concrete substructure, and featuring modern techology such as flush toilets, it was nevertheless kept in a style that was an interpretation of the surrounding medieval architectural heritage. Of note inside is the large hanging clock by Aloys Denoth.","(53.54853, 9.99229)",wikivoyage,red
2,Trostbrücke ,53.54815,9.99225, , ,See_Around St. Nikolai,It has statues of Graf Adolf III and Bishop Ansgar on both sides.,"(53.54815, 9.99225)",wikivoyage,red
3,Zollenbrücke ,53.54772,9.99362, , ,See_Around St. Nikolai,Hamburg's oldest remaining bridge from the 17th century,"(53.54772, 9.99362)",wikivoyage,red
0,Chilehaus ,53.5483,10.003, , ,See_Around St. Nikolai,"The house, depicting the form of a ship, is probably the best example of the 1920s style of ""Kontorhaus"" architecture. Large office buildings are displayed in the typical, northern red brick style.","(53.5483, 10.003)",wikivoyage,red
1,Hopfenmarkt ,53.54763,9.98951, , ,See_Around St. Nikolai,The hop market with its fountain Vierländerinbrunnen,"(53.54763, 9.98951)",wikivoyage,red
2,Alte Deichstraße ,53.5457,9.9871, , ,See_Around St. Nikolai,Ensemble of traditional half-timbered merchant houses.,"(53.5457, 9.9871)",wikivoyage,red
0,Nicolai Fleet ,53.54512,9.98758, , ,See_Around St. Nikolai,This is the site where Hamburg's harbour was some centuries ago.,"(53.54512, 9.98758)",wikivoyage,red
1,Kleiner Michel ,53.5491193,9.9830436, ,http://www.kleiner-michel.de/ ,See_Around St. Nikolai,"Built after the reformation, it's functioned as a Catholic church since the 19th century.","(53.5491193, 9.9830436)",wikivoyage,red
0,The Hamburg Dungeon ,53.543871,9.989404,Kehrwieder 2 ,http://www.the-dungeons.de/hamburg/en/index.htm ,See_Speicherstadt,"A live-action presentation of the ""darker times"" of Hamburg. It is probably mostly suited for a younger, easily impressed audience. But it might not be suitable for young children.","(53.543871, 9.989404)",wikivoyage,red
1,The Miniatur Wunderland ,53.543846,9.988999,Kehrwieder 2 ,http://www.miniatur-wunderland.de/ ,See_Speicherstadt,"The world's largest model railway layout. The panoramas include parts of Hamburg, the Alps, the American west, and a Scandinavian exhibit which features automated ships on a body of water. It also has an airport exhibit with automated planes which taxi and fly.","(53.543846, 9.988999)",wikivoyage,red
0,Viewpoint towards the water castle ,53.5460808,10.0021302, , ,See_Speicherstadt,One of the more famous photo spots in Hamburg on Poggenmühle bridge.,"(53.5460808, 10.0021302)",wikivoyage,red
1,Kaffeemuseum Burg ,0.0,0.0,St Annenufer 2 , ,See_Speicherstadt,At its heart this is a cafe serving good coffee set up to show aspects of the coffee trade however the point of going there is to see inside one of the famous warehouses of Speicherstadt. It is popular with tourists and deservedly so. The main timbers of the warehouse are massive and plainly built with a view to longevity.,"(0, 0)",wikivoyage,red
0,visitor's centre instead. Normally there are very few people.,53.54143,9.98586, ,http://www.elbphilharmonie.de ,See_HafenCity,"New 'architectural lighthouse' of Hamburg. On the top of a huge old warehouse a 110 metres tall modern philharmonic hall with glass façade and wave-shaped roof. It also includes a fancy hotel, restaurant, as well as private apartments. Access to the observation deck (called ""Plaza"") is free (although you need to get a ticket to prevent overcrowding), and offers a great view of Hamburg. On days of long queues in front of the ticket booth for the Plaza get your ticket at the {{Marker","(53.54143, 9.98586)",wikivoyage,red
1,HafenCity Kesselhaus InfoCenter ,53.54315,9.9904,Am Sandtorkai 30 ,http://www.hafencity.com/en/infocenter/the-hafencity-kesselhaus-infocenter.html ,See_HafenCity,Here you can find information about the new buildings and the whole district. The InfoCenter also provides free guided tours.,"(53.54315, 9.9904)",wikivoyage,red
2,HafenCity View Point ,53.5386,10.0081, ,http://www.hafencity.com/en/infocenter/viewpoint-in-hafencity.html ,See_HafenCity,"Look at the erecting process from an orange observation tower, which allows nice views on the HafenCity, the harbour, and the river.","(53.5386, 10.0081)",wikivoyage,red
3,Magellan-Terrasse ,53.54246,9.99245, , ,See_HafenCity,,"(53.54246, 9.99245)",wikivoyage,red
4,Hanseatic Trade Centre ,53.5423,9.9835,Am Sandtorkai 74-77 (Kehrwiederspitze) , ,See_HafenCity,,"(53.5423, 9.9835)",wikivoyage,red
0,City und Sportboothafen ,53.5433,9.98024, , ,See_Old harbour,Hamburg's city and yacht harbour..,"(53.5433, 9.98024)",wikivoyage,red
1,Feuerschiff LV 13 ,53.54348,9.97877, , ,See_Old harbour,The big red lighthouse ship hosts a restaurant today.,"(53.54348, 9.97877)",wikivoyage,red
2,Überseebrücke ,53.54377,9.97765, , ,See_Old harbour,This is where big cruise liners used to dock when coming to Hamburg.,"(53.54377, 9.97765)",wikivoyage,red
3,Gruner + Jahr ,53.5453982,9.9791636, , ,See_Old harbour,Hyper-modern building of the publishers.,"(53.5453982, 9.9791636)",wikivoyage,red
4,Krameramtswohnungen ,53.54804,9.98039, , ,See_Old harbour,The shopkeeper-office-flats are the last example of a typical 17th-century housing estate.,"(53.54804, 9.98039)",wikivoyage,red
5,Flussschifferkirche ,53.54462,9.98527, ,http://www.flussschifferkirche.de/home.html ,See_Old harbour,Germany's only floating church in Rothenburgsort.,"(53.54462, 9.98527)",wikivoyage,red
6,Alter Botanischer Garten ,53.5593,9.9861, ,http://www.bghamburg.de/ ,See_Old harbour,,"(53.5593, 9.9861)",wikivoyage,red
7,Tropengewächshaus ,53.56,9.9855, ,,See_Old harbour, ,"(53.56, 9.9855)",wikivoyage,red
8,Portugiesenviertel ,53.545889,9.975083, , ,See_Old harbour,Especially during the warmer months the area around Ditmar-Koel-Straße has a very special flair. Lots of restaurants and shops invite one to linger.,"(53.545889, 9.975083)",wikivoyage,red
0,Kunsthalle ,53.5552,10.0031, ,http://www.hamburger-kunsthalle.de/en ,See_Museums,"Glockengießerwall north of Hauptbahnhof. The museum houses an important collection of paintings from the 19th century with works from Max Liebermann, Lovis Corinth, Philipp Otto Runge, Caspar David Friedrich, Adolf Menzel, and modern arts. It rises on both sides of a paved court. The Baroque building on one side has the older works. The areas under the courtyard and the other, modern looking building house an extensive collection of very modern art. There are some extremely fine pieces, but the quality is uneven and the curacy curious at times. For instance, in a far back corner with minimal climate control and no observation are four or five gorgeous French Impressionist paintings which are among the finest in the museum.","(53.5552, 10.0031)",wikivoyage,red
1,Deichtorhallen ,53.54724,10.00674, ,http://www.deichtorhallen.de/index.php?id,See_Museums,"The Deichtorhallen is one of the best known exhibition galleries worldwide. The historical buildings are divided into an exhibition hall for contemporary art and the ""House of Photography"". Together the two buildings organize a highly diverse program of changing exhibitions.","(53.54724, 10.00674)",wikivoyage,red
0,Hamburg Museum ,53.55107,9.97325, ,http://www.hamburgmuseum.de/index2.html ,See_Museums,"Holstenwall, close to Underground station ""St. Pauli"". This is the museum of city history, bringing the past to life with a lot of models showing the development of the harbour and the city. The club ""MEHEV"" is showing a 40-year-old and one of the largest scale model railroads here.","(53.55107, 9.97325)",wikivoyage,red
1,Internationales Maritimes Museum ,53.54341,9.99993,"Koreastraße 1, HafenCity ",https://www.imm-hamburg.de/ ,See_Museums,"This private museum in near the Speicherstadt district houses Peter Tamm's collection of model ships, construction plans, uniforms, and maritime art,. It opened in 2008 in the refurbished Kaispeicher B (quay warehouse B), which is the oldest preserved warehouse in Hamburg, having been built in 1879. Covering ten floors it is one of the most comprehensive maritime museums in the world with 1,000 large and 36,000 miniature models, 50,000 construction plans, 5,000 paintings and graphics, more than 2,000 films, 1.5 million photos, 120,000 books and numerous nautical devices, historic uniforms, militaria and maritime objects. About two thirds of the collection is on permanent display.","(53.54341, 9.99993)",wikivoyage,red
2,Speicherstadtmuseum ,53.54311,9.98758, ,http://www.speicherstadtmuseum.de/# ,See_Museums,Branch of Museum of Labour in docklands warehouse. History of the district and tea and coffee trade.,"(53.54311, 9.98758)",wikivoyage,red
3,Traditionsschiffhafen ,53.54239,9.99003, , ,See_Museums,,"(53.54239, 9.99003)",wikivoyage,red
4,Cap San Diego ,53.5432,9.9763, ,http://www.capsandiego.de/ ,See_Museums,"One of the last generation of pre-containerisation cargo ships (built in the 1960s), now semi-permanently moored halfway between Landungsbrücken and the Speicherstadt, and is the largest functional cargo museum ship in the world. The ship has been restored and is maintained in full working order by volunteers (who take it out a few times a year, notably during the Hafengeburtstag celebration). You can visit the ship and walk around most areas, including the crew quarters, cargo compartments, and engine room. The ship also hosts a number of other minor attractions, including an exhibit on emigration and an escape room. The ship also has a few guest rooms for overnight stays.","(53.5432, 9.9763)",wikivoyage,red
5,Automuseum Prototyp ,53.54325,10.00265,Shanghaiallee 7 ,http://www.prototyp-hamburg.de ,See_Museums,"Museum of car prototypes, nice shop inside.","(53.54325, 10.00265)",wikivoyage,red
0,Deutsches Zollmuseum ,53.5459,9.99752, ,http://www.zoll.de/DE/Der-Zoll/Zollmuseum/zollmuseum_node.html ,See_Museums,,"(53.5459, 9.99752)",wikivoyage,red
1,Bucerius Kunst Forum ,53.55112,9.99166,Rathausmarkt 2 ,http://www.buceriuskunstforum.de/en/ ,See_Museums,,"(53.55112, 9.99166)",wikivoyage,red
2,Spicey's Gewürzmuseum ,53.5432,9.9883, ,http://www.spicys.de/ ,See_Museums,Located in the Speicherstadt. They claim to be the world's only spice museum.,"(53.5432, 9.9883)",wikivoyage,red
3,Chocoversum Hachez Schokoladen-Museum ,53.5477,10.0022,Meßberg 1 ,http://www.chocoversum.de/en.html ,See_Museums,"The Chocoversum is a ""museum"" run by chocolate manufacturer Hachez from Hamburg's fellow ''Hansestadt'' [[Bremen]]. Rather than focus on exhibiting historic artifacts, it presents the process of making chocolate from the plantation up to the finished confection. There is also a studio where visitors can try their hands at being a chocolatier. 90-minute guided tours are provided everyday.","(53.5477, 10.0022)",wikivoyage,red
4,Rickmer Rickmers ,53.54473,9.97247, ,http://www.rickmer-rickmers.de/ ,See_Museums,"A museum sailing ship (three-masted bark) from 1896, permanently moored off the Landungsbrücken. On board is a museum, a small restaurant, and an escape room.","(53.54473, 9.97247)",wikivoyage,red
5,Dialog im Dunkeln ,0.0,0.0,Alter Wandrahm 4 ,http://www.dialog-im-dunkeln.de/ ,See_Museums,Sighted people get to experience the everyday life of blind people. In completely dark rooms blind people guide the sighted through the exhibition.,"(0, 0)",wikivoyage,red
0,Hamburgische Staatsoper ,53.556667,9.988889, ,http://www.staatsoper-hamburg.de/ ,Do,"Hamburg is home to the Hamburg State Opera House, one of the leading opera houses in Germany. It holds great historical significance, as in 1678 the first public opera house in Germany was built in Hamburg at Gänsemarkt Square, which is where the opera house is still today.","(53.556667, 9.988889)",wikivoyage,red
1,Laeiszhalle ,53.55577,9.98058, ,https://www.elbphilharmonie.de/en/laeiszhalle ,Do,"The Laeiszhalle is the main classical music hall in Hamburg, with two halls: the kleiner Saal and großer Saal. You can see the schedule on their website. For online ticket purchases, use [http://www.ticketonline.de Ticket Online].","(53.55577, 9.98058)",wikivoyage,red
2,The Rover Rep Theatre ,53.55071,9.98097,Großneumarkt 8 ,http://www.roverrep.net/ ,Do,At the Irish Rover. English language pub theatre under the Irish Rover at the Großneumarkt. High class professional productions in a special atmosphere.,"(53.55071, 9.98097)",wikivoyage,red
