,location,distance,item,lat,lon,sitelinks,itemLabel,placeLabel,tier,color
0,Point(11.061211563 49.45858605),1.275,http://www.wikidata.org/entity/Q5580,49.458586050003,11.061211563308,182,Albrecht Dürer,Johannisfriedhof (Nürnberg),graves,black
1,Point(11.061211563 49.45858605),1.275,http://www.wikidata.org/entity/Q76422,49.458586050003,11.061211563308,105,Ludwig Feuerbach,Johannisfriedhof (Nürnberg),graves,black
2,Point(11.060277777 49.4475),1.42,http://www.wikidata.org/entity/Q76485,49.4475,11.060277777778,58,Johann Pachelbel,St. Rochus Cemetery,graves,black
3,Point(11.0775 49.453888888),0.015,http://www.wikidata.org/entity/Q78503,49.453888888889,11.0775,54,Hermann Oberth,Nuremberg,graves,black
4,Point(11.061211563 49.45858605),1.275,http://www.wikidata.org/entity/Q19543,49.458586050003,11.061211563308,47,Hans Sachs,Johannisfriedhof (Nürnberg),graves,black
5,Point(11.0775 49.453888888),0.015,http://www.wikidata.org/entity/Q366361,49.453888888889,11.0775,38,Max Morlock,Nuremberg,graves,black
6,Point(11.061211563 49.45858605),1.275,http://www.wikidata.org/entity/Q250194,49.458586050003,11.061211563308,36,Anselm Feuerbach,Johannisfriedhof (Nürnberg),graves,black
7,Point(11.061211563 49.45858605),1.275,http://www.wikidata.org/entity/Q163800,49.458586050003,11.061211563308,34,Veit Stoss,Johannisfriedhof (Nürnberg),graves,black
8,Point(11.0775 49.453888888),0.015,http://www.wikidata.org/entity/Q262771,49.453888888889,11.0775,26,Michael Wolgemut,Nuremberg,graves,black
9,Point(11.061211563 49.45858605),1.275,http://www.wikidata.org/entity/Q551624,49.458586050003,11.061211563308,24,Joachim von Sandrart the Elder,Johannisfriedhof (Nürnberg),graves,black
